데이터셋,최적화기,학습률,최종 테스트 정확도 (%),최고 테스트 정확도 (%),최소 훈련 손실,수렴 속도 (epochs),안정성 (변동성),평균 Gradient Norm
Fashion-MNIST,SGD,0.1,89.70,89.75,0.0841,3,0.0003,inf
Fashion-MNIST,SGD+Momentum,0.1,88.89,89.22,0.0119,3,0.0016,inf
Fashion-MNIST,Adam,0.1,10.00,10.00,2.3027,1,0.0002,nan
Digits,SGD,0.1,97.50,97.50,0.0272,4,0.0000,0.2582
Digits,SGD+Momentum,0.1,98.89,99.17,0.0004,3,0.0000,0.0408
Digits,Adam,0.1,66.11,67.50,0.7411,27,0.0001,inf
Fashion-MNIST,SGD,0.01,86.17,86.18,0.3409,6,0.0001,inf
Fashion-MNIST,SGD+Momentum,0.01,89.31,89.61,0.0811,4,0.0003,inf
Fashion-MNIST,Adam,0.01,87.87,88.53,0.0808,2,0.0072,inf
Digits,SGD,0.01,84.44,84.44,0.8696,27,0.0015,0.8304
Digits,SGD+Momentum,0.01,98.06,98.06,0.0288,6,0.0000,0.2677
Digits,Adam,0.01,97.78,98.06,0.0000,1,0.0000,0.0384
Fashion-MNIST,SGD,0.001,77.18,77.21,0.6037,14,0.0002,inf
Fashion-MNIST,SGD+Momentum,0.001,85.93,85.98,0.3445,6,0.0001,inf
Fashion-MNIST,Adam,0.001,89.27,89.69,0.0064,2,0.0027,inf
Digits,SGD,0.001,18.61,18.61,2.2267,64,0.0001,0.5987
Digits,SGD+Momentum,0.001,81.11,81.11,0.9239,20,0.0016,0.8239
Digits,Adam,0.001,97.22,97.22,0.0020,2,0.0000,0.0845
